,condition,bin,type,subject,itemnum,cloze,constraint,contrast_unexpected,accuracy,w1,w2,region,amplitude
14563,LC.AN.CL,2,1,26,635,0,0,0,1,一项,饭,anterior,0.5892063333333329
14564,LC.UNEXP.VB,10,0,26,488,1,0,-2,1,要求,成绩,anterior,-3.123355666666667
14565,LC.AN.VB,7,0,26,319,0,0,0,1,发布,土地,anterior,-3.5422314
14566,HC.AN.VB,6,0,26,205,0,1,0,1,吃,香烟,anterior,0.6489693666666666
14567,LC.AN.CL,2,1,26,485,0,0,0,1,一点,鞋子,mid_frontal,-18.854
14568,LC.AN.CL,2,1,26,648,0,0,0,1,一笔,菜,mid_frontal,-13.074341333333331
14569,LC.UNEXP.VB,10,0,26,115,1,0,-2,1,开立,公司,mid_frontal,-5.080576
14570,LC.UNEXP.VB,10,0,26,643,1,0,-2,1,告诉,女孩,mid_frontal,-5.398816666666668
14571,LC.AN.CL,2,1,26,281,0,0,0,1,一股,钱,mid_frontal,-18.002256666666664
14572,LC.AN.CL,2,1,26,475,0,0,0,1,一份,墙,mid_frontal,-7.418928333333333
14573,HC.EXP.CL,3,1,26,298,2,1,0,1,一尊,佛像,mid_frontal,4.2619746
14574,HC.UNEXP.CL,4,1,26,657,1,1,-1,0,一壶,饮料,mid_frontal,-8.985863333333333
14575,HC.UNEXP.VB,9,0,26,625,1,1,-1,1,承包,商铺,mid_frontal,-3.9078546666666667
14576,HC.UNEXP.CL,4,1,26,277,1,1,-1,0,一扇,猪肉,mid_frontal,-13.168283333333335
14577,LC.AN.VB,7,0,26,117,0,0,0,1,举行,棋,mid_frontal,1.1731249999999998
14578,HC.EXP.VB,8,0,26,318,2,1,0,1,运送,货物,mid_frontal,-9.896357000000002
14579,HC.EXP.CL,3,1,26,324,2,1,0,1,一里,路,mid_frontal,-5.371555333333333
14580,HC.UNEXP.CL,4,1,26,321,1,1,-1,1,一缸,荷花,mid_frontal,-14.792736666666665
14581,HC.AN.CL,1,1,26,295,0,1,0,1,一篇,线,mid_frontal,-0.7113650333333332
14582,LC.AN.CL,2,1,26,273,0,0,0,1,一声,土地,mid_frontal,-5.231443333333332
14583,LC.AN.VB,7,0,26,632,0,0,0,1,统治,尸体,mid_frontal,-12.231730333333333
14584,HC.AN.CL,1,1,26,483,0,1,0,1,一本,黄金,mid_frontal,-12.41821
14585,HC.EXP.CL,3,1,26,606,2,1,0,1,一平方公里,土地,mid_frontal,1.8527905666666669
14586,HC.EXP.CL,3,1,26,197,2,1,0,1,一记,耳光,mid_frontal,-3.1408546666666672
14587,HC.UNEXP.CL,4,1,26,638,1,1,-1,1,一平方公里,湖,mid_frontal,-4.803734793333333
14588,LC.AN.CL,2,1,26,498,0,0,0,1,一罐,飞机,mid_frontal,-10.455327666666667
14589,LC.UNEXP.VB,10,0,26,287,1,0,-2,1,具有,能力,mid_frontal,-13.319843333333333
14590,LC.AN.CL,2,1,26,639,0,0,0,0,一份,歌曲,mid_frontal,-7.765876666666666
14591,LC.AN.VB,7,0,26,637,0,0,0,0,走向,信号,mid_frontal,-7.982721533333333
14592,LC.UNEXP.VB,10,0,26,184,1,0,-2,1,支持,提议,mid_frontal,-7.256919000000001
14593,HC.UNEXP.VB,9,0,26,279,1,1,-1,0,扭转,时间,mid_frontal,-6.139164
14594,LC.UNEXP.CL,5,1,26,452,1,0,-2,1,一锅,肉,mid_frontal,-4.8867659
14595,HC.AN.CL,1,1,26,604,0,1,0,1,一句,卧室,mid_frontal,-5.9693760000000005
14596,HC.EXP.VB,8,0,26,466,2,1,0,1,积累,经验,mid_frontal,-1.6371446666666662
14597,LC.UNEXP.CL,5,1,26,613,1,0,-2,1,一颗,珍珠,mid_frontal,7.104771333333333
14598,HC.AN.CL,1,1,26,286,0,1,0,1,一粒,狗,mid_frontal,-18.061366666666668
14599,LC.UNEXP.CL,5,1,26,454,1,0,-2,0,一大/JJ,老师,mid_frontal,-4.173848
14600,LC.AN.CL,2,1,26,120,0,0,0,1,一点儿,生日,mid_frontal,-8.831920333333334
14601,LC.UNEXP.VB,10,0,26,309,1,0,-2,1,安置,设备,mid_frontal,0.11940560000000004
14602,HC.AN.VB,6,0,26,646,0,1,0,1,抓紧,学校,mid_frontal,-15.976893333333335
14603,HC.EXP.CL,3,1,26,92,2,1,0,1,一番,话,mid_frontal,-5.811660666666666
14604,LC.UNEXP.VB,10,0,26,304,1,0,-2,1,罢免,法官,mid_frontal,-8.918613
14605,LC.UNEXP.CL,5,1,26,280,1,0,-2,1,一大群,狗,mid_frontal,-9.481485000000001
14606,HC.EXP.VB,8,0,26,296,2,1,0,1,谋取,利益,mid_frontal,-14.863506666666666
14607,LC.UNEXP.VB,10,0,26,497,1,0,-2,1,保持,体重,mid_frontal,4.630013999999999
14608,HC.AN.CL,1,1,26,470,0,1,0,1,一封,酒店,mid_frontal,-8.79811
14609,HC.AN.CL,1,1,26,649,0,1,0,1,一堵,米,mid_frontal,-1.6035483333333334
14610,LC.UNEXP.VB,10,0,26,93,1,0,-2,1,提高,产量,mid_frontal,-14.834655666666668
14611,HC.AN.VB,6,0,26,315,0,1,0,1,激化,米,mid_frontal,-9.313573666666667
14612,HC.AN.CL,1,1,26,631,0,1,0,1,一匹,米,mid_frontal,-11.220250333333333
14613,HC.EXP.CL,3,1,26,50,2,1,0,1,一幢,楼,mid_frontal,2.4478853333333332
14614,HC.EXP.CL,3,1,26,114,2,1,0,1,一群,人,mid_frontal,-7.101312
14615,LC.UNEXP.CL,5,1,26,308,1,0,-2,0,一班,演员,mid_frontal,-7.145747333333333
14616,LC.AN.VB,7,0,26,624,0,0,0,1,设立,猪,mid_frontal,-15.063719999999998
14617,HC.UNEXP.CL,4,1,26,182,1,1,-1,0,一面,木板,mid_frontal,-3.457167
14618,LC.AN.VB,7,0,26,94,0,0,0,1,抵御,争论,mid_frontal,-8.953757666666666
14619,HC.UNEXP.CL,4,1,26,293,1,1,-1,1,一尊,鼎,mid_frontal,-11.293299
14620,HC.UNEXP.VB,9,0,26,734,1,1,-1,1,伸出,头,mid_frontal,-7.0154146666666675
14621,HC.UNEXP.CL,4,1,26,193,1,1,-1,1,一肚子,酒,mid_frontal,-2.0379916666666666
14622,LC.AN.CL,2,1,26,729,0,0,0,1,一块,香烟,mid_frontal,-16.82465
14623,HC.UNEXP.CL,4,1,26,96,1,1,-1,1,一公顷,沙漠,mid_frontal,-4.265005033333333
14624,HC.EXP.VB,8,0,26,465,2,1,0,1,推动,发展,mid_frontal,2.7552796666666666
14625,LC.AN.CL,2,1,26,97,0,0,0,1,一项,黄金,mid_frontal,2.3639852999999995
14626,HC.AN.VB,6,0,26,464,0,1,0,1,承担,牛,mid_frontal,-2.6146526666666667
14627,HC.AN.CL,1,1,26,35,0,1,0,1,一档,饭,mid_frontal,-0.28167399999999976
14628,LC.UNEXP.CL,5,1,26,607,1,0,-2,1,一条,短信,mid_frontal,0.6483859999999999
14629,LC.AN.CL,2,1,26,723,0,0,0,1,一平米,信号,mid_frontal,-10.604839666666667
14630,LC.UNEXP.VB,10,0,26,272,1,0,-2,1,严守,承诺,mid_frontal,-2.7184836666666663
14631,HC.AN.CL,1,1,26,100,0,1,0,1,一辆,措施,mid_frontal,-3.3193626666666667
14632,HC.AN.VB,6,0,26,476,0,1,0,1,扮演,土地,mid_frontal,-5.0277012333333335
14633,HC.AN.VB,6,0,26,288,0,1,0,1,讨回,鸡,mid_frontal,3.005744333333334
14634,HC.EXP.VB,8,0,26,627,2,1,0,1,买,东西,mid_frontal,-3.2924653999999998
14635,HC.UNEXP.CL,4,1,26,183,1,1,-1,1,一群,老师,mid_frontal,-9.836253666666666
14636,LC.UNEXP.CL,5,1,26,491,1,0,-2,1,一门,语言,mid_frontal,-11.640786666666669
14637,HC.AN.VB,6,0,26,31,0,1,0,1,考上,酒店,mid_frontal,-1.025234433333333
14638,HC.UNEXP.CL,4,1,26,474,1,1,-1,1,一回合,战斗,mid_frontal,-5.108029866666667
14639,HC.UNEXP.VB,9,0,26,189,1,1,-1,1,侮辱,烈士,mid_frontal,-6.829350666666667
14640,LC.UNEXP.VB,10,0,26,208,1,0,-2,1,接受,计划,mid_frontal,-10.629897000000001
14641,HC.AN.CL,1,1,26,732,0,1,0,1,一大笔,牛,mid_frontal,-10.517010666666666
14642,LC.UNEXP.CL,5,1,26,623,1,0,-2,1,一部,手机,mid_frontal,-0.5682393333333331
14643,HC.AN.VB,6,0,26,477,0,1,0,1,振奋,水流,mid_frontal,-5.019411000000001
14644,LC.UNEXP.CL,5,1,26,728,1,0,-2,0,一度,角,mid_frontal,-12.431205999999998
14645,HC.EXP.VB,8,0,26,656,2,1,0,1,汇报,工作,mid_frontal,8.076435
14646,HC.EXP.CL,3,1,26,620,2,1,0,1,一幕幕,戏,mid_frontal,-4.0095947999999995
14647,HC.EXP.CL,3,1,26,36,2,1,0,1,一列,火车,mid_frontal,0.9296199066666667
14648,LC.UNEXP.CL,5,1,26,736,1,0,-2,1,一班,孩子,mid_frontal,2.598176
14649,LC.AN.CL,2,1,26,95,0,0,0,1,一块,失败,mid_frontal,-10.343049666666666
14650,LC.AN.CL,2,1,26,34,0,0,0,1,一根,运动,mid_frontal,-4.434792000000001
14651,HC.EXP.CL,3,1,26,192,2,1,0,1,一缕,青烟,mid_frontal,-2.2306063333333337
14652,LC.AN.CL,2,1,26,617,0,0,0,0,一年,食物,mid_frontal,-12.971089999999998
14653,LC.UNEXP.CL,5,1,26,57,1,0,-2,1,一池,水草,mid_frontal,-8.368370666666666
14654,LC.AN.CL,2,1,26,468,0,0,0,1,一组,武艺,mid_frontal,-0.6027462327666667
14655,HC.EXP.VB,8,0,26,328,2,1,0,1,完成,任务,mid_frontal,-4.519218666666666
14656,LC.UNEXP.VB,10,0,26,467,1,0,-2,1,担任,经理,mid_frontal,-9.568393666666667
14657,LC.AN.VB,7,0,26,195,0,0,0,1,实现,乐曲,mid_frontal,-1.8867396666666665
14658,HC.AN.VB,6,0,26,724,0,1,0,0,侵吞,线,mid_frontal,-10.537693666666668
14659,LC.AN.VB,7,0,26,206,0,0,0,1,实行,飞机,mid_frontal,-15.293330000000003
14660,LC.UNEXP.CL,5,1,26,322,1,0,-2,1,一片,天地,mid_frontal,4.434677
14661,HC.EXP.CL,3,1,26,45,2,1,0,1,一江,春水,mid_frontal,-8.725766666666665
14662,HC.EXP.VB,8,0,26,655,2,1,0,1,夺得,冠军,mid_frontal,-3.7378929999999997
14663,HC.UNEXP.CL,4,1,26,185,1,1,-1,0,一江,鱼,mid_frontal,-11.464747000000001
14664,HC.UNEXP.VB,9,0,26,634,1,1,-1,0,补贴,老师,mid_frontal,-2.2100827533333334
14665,HC.AN.CL,1,1,26,38,0,1,0,1,一束,争论,mid_frontal,-13.127983666666665
14666,HC.UNEXP.CL,4,1,26,187,1,1,-1,1,一里,海岸,mid_frontal,-19.344933333333334
14667,LC.AN.CL,2,1,26,628,0,0,0,1,一身,火车,mid_frontal,-16.246256666666667
14668,HC.UNEXP.CL,4,1,26,282,1,1,-1,1,一通,电报,mid_frontal,6.179280966666667
14669,LC.UNEXP.CL,5,1,26,275,1,0,-2,1,一道,瀑布,mid_frontal,-4.932866981
14670,HC.AN.CL,1,1,26,294,0,1,0,1,一发,帽子,mid_frontal,-9.892300666666666
14671,HC.AN.VB,6,0,26,60,0,1,0,1,负有,黄金,mid_frontal,-0.5968369999999998
14672,LC.AN.VB,7,0,26,608,0,0,0,1,解释,酒店,mid_frontal,-3.410398666666667
14673,LC.AN.CL,2,1,26,494,0,0,0,1,一波波,公司,mid_frontal,3.7994459999999997
14674,LC.AN.VB,7,0,26,642,0,0,0,1,提供,热血,mid_frontal,-2.24582
14675,HC.EXP.VB,8,0,26,326,2,1,0,1,改善,生活,mid_frontal,-8.466421333333335
14676,HC.UNEXP.CL,4,1,26,325,1,1,-1,1,一届,晚会,mid_frontal,-8.717641
14677,LC.UNEXP.VB,10,0,26,59,1,0,-2,1,保有,价值,mid_frontal,4.483080666666667
14678,HC.AN.VB,6,0,26,111,0,1,0,1,征求,乐曲,mid_frontal,-3.3253876333333334
14679,HC.UNEXP.CL,4,1,26,504,1,1,-1,1,一副,牌,mid_frontal,-6.951693666666666
14680,LC.UNEXP.CL,5,1,26,104,1,0,-2,1,一批,民工,mid_frontal,-9.021066333333334
14681,LC.AN.CL,2,1,26,730,0,0,0,1,一丝,子弹,mid_frontal,-2.027547333333333
14682,LC.AN.CL,2,1,26,503,0,0,0,1,一组,学问,mid_frontal,-3.853670333333333
14683,HC.AN.VB,6,0,26,33,0,1,0,1,开展,墙,mid_frontal,-7.172346999999999
14684,HC.EXP.VB,8,0,26,749,2,1,0,1,提出,问题,mid_frontal,-14.006009999999998
14685,HC.EXP.CL,3,1,26,473,2,1,0,1,一起,事故,mid_frontal,-2.4720816666666665
14686,HC.UNEXP.CL,4,1,26,636,1,1,-1,1,一套,家具,mid_frontal,-3.105571166666666
14687,LC.UNEXP.VB,10,0,26,453,1,0,-2,0,影响,出口,mid_frontal,-5.036008399999999
14688,HC.EXP.VB,8,0,26,618,2,1,0,1,宏扬,精神,mid_frontal,-13.208293333333332
14689,HC.EXP.VB,8,0,26,210,2,1,0,1,判处,死刑,mid_frontal,-5.395711666666667
14690,HC.UNEXP.VB,9,0,26,292,1,1,-1,1,讨论,分工,mid_frontal,-8.379541666666666
14691,LC.AN.VB,7,0,26,743,0,0,0,1,举办,鞋子,mid_frontal,-17.456573333333335
14692,HC.AN.CL,1,1,26,601,0,1,0,1,一阵,学校,mid_frontal,-12.046191333333333
14693,HC.UNEXP.VB,9,0,26,312,1,1,-1,1,驾驶,飞船,mid_frontal,-2.354207733333333
14694,LC.UNEXP.VB,10,0,26,42,1,0,-2,1,降低,分数,mid_frontal,0.5781023333333336
14695,LC.UNEXP.VB,10,0,26,603,1,0,-2,1,安排,住宿,mid_frontal,-5.528303
14696,HC.UNEXP.CL,4,1,26,482,1,1,-1,1,一番,天地,mid_frontal,4.02129
14697,LC.UNEXP.VB,10,0,26,196,1,0,-2,0,动摇,基础,mid_frontal,0.13835496666666666
14698,HC.UNEXP.VB,9,0,26,725,1,1,-1,1,服,药,mid_frontal,-4.945569666666667
14699,HC.EXP.VB,8,0,26,614,2,1,0,1,吸取,教训,mid_frontal,-7.429722666666667
14700,HC.UNEXP.VB,9,0,26,626,1,1,-1,1,管制,出国,mid_frontal,-4.171494233333333
14701,HC.EXP.CL,3,1,26,107,2,1,0,1,一副,眼镜,mid_frontal,-1.0571232333333331
14702,HC.EXP.CL,3,1,26,276,2,1,0,1,一通,电话,mid_frontal,-10.386395666666665
14703,HC.EXP.CL,3,1,26,746,2,1,0,1,一盘,菜,mid_frontal,5.882578
14704,HC.EXP.CL,3,1,26,461,2,1,0,1,一壶,酒,mid_frontal,-4.751335633333333
14705,LC.AN.CL,2,1,26,457,0,0,0,1,一次,线,mid_frontal,-14.919903333333332
14706,LC.UNEXP.VB,10,0,26,52,1,0,-2,1,改进,绿化,mid_frontal,-2.6083028
14707,LC.AN.VB,7,0,26,478,0,0,0,1,总结,水果,mid_frontal,-12.207035333333332
14708,HC.AN.CL,1,1,26,658,0,1,0,1,一滴,墙,mid_frontal,-8.413617333333335
14709,HC.AN.CL,1,1,26,721,0,1,0,1,一间,扣子,mid_frontal,-6.961030666666667
14710,LC.AN.VB,7,0,26,455,0,0,0,1,出现,经历,mid_frontal,-5.889123666666667
14711,LC.AN.VB,7,0,26,727,0,0,0,1,侵害,黄金,mid_frontal,-8.189668666666668
14712,LC.AN.CL,2,1,26,194,0,0,0,1,一堆,希望,mid_frontal,-12.181286
14713,HC.UNEXP.VB,9,0,26,654,1,1,-1,1,占用,教室,mid_frontal,-4.993404333333333
14714,HC.EXP.VB,8,0,26,744,2,1,0,1,造福,人类,mid_frontal,8.047769333333333
14715,HC.AN.VB,6,0,26,203,0,1,0,1,赚,生日,mid_frontal,1.5207965
14716,HC.EXP.CL,3,1,26,314,2,1,0,1,一座,山,mid_frontal,-8.012851666666668
14717,HC.AN.CL,1,1,26,742,0,1,0,1,一艘,猪,mid_frontal,-18.25013
14718,LC.UNEXP.CL,5,1,26,481,1,0,-2,1,一则,寻人启事,mid_frontal,2.123266366666667
14719,LC.AN.CL,2,1,26,500,0,0,0,1,一处,饭,mid_frontal,-1.022265
14720,HC.UNEXP.VB,9,0,26,91,1,1,-1,1,开创,领域,mid_frontal,-6.192974666666665
14721,HC.EXP.CL,3,1,26,644,2,1,0,1,一扇,门,mid_frontal,0.777903666666667
14722,LC.AN.VB,7,0,26,472,0,0,0,1,加快,墙,mid_frontal,-17.851073333333332
14723,HC.UNEXP.CL,4,1,26,622,1,1,-1,1,一座,城堡,mid_frontal,-21.379986666666667
14724,HC.AN.VB,6,0,26,327,0,1,0,1,施加,楼房,mid_frontal,-12.434696666666667
14725,LC.UNEXP.CL,5,1,26,209,1,0,-2,0,一岁,庄稼,mid_frontal,-5.1009199999999995
14726,HC.AN.CL,1,1,26,112,0,1,0,1,一毛,尸体,mid_frontal,-5.837217333333334
14727,HC.EXP.CL,3,1,26,731,2,1,0,1,一丛丛,花,mid_frontal,-0.9447087666666669
14728,LC.AN.CL,2,1,26,451,0,0,0,1,一堆,水流,mid_frontal,-10.840824666666668
14729,HC.AN.VB,6,0,26,489,0,1,0,1,奠定,水果,mid_frontal,-0.4941700333333336
14730,LC.UNEXP.CL,5,1,26,739,1,0,-2,1,一批,产品,mid_frontal,-3.231791
14731,HC.EXP.VB,8,0,26,495,2,1,0,1,促进,发展,mid_frontal,5.792840333333333
14732,LC.UNEXP.CL,5,1,26,486,1,0,-2,1,一场,培训,mid_frontal,-7.462496333333334
14733,HC.UNEXP.VB,9,0,26,458,1,1,-1,1,虐待,儿子,mid_frontal,-9.880372
14734,HC.EXP.VB,8,0,26,653,2,1,0,1,没收,财产,mid_frontal,-2.457371666666667
14735,LC.AN.VB,7,0,26,459,0,0,0,1,欺负,卧室,mid_frontal,-7.371640666666665
14736,HC.EXP.VB,8,0,26,43,2,1,0,1,使用,工具,mid_frontal,-15.627540333333334
14737,HC.AN.VB,6,0,26,207,0,1,0,1,采取,菜,mid_frontal,-8.597279333333333
14738,HC.EXP.CL,3,1,26,508,2,1,0,1,一对,情侣,mid_frontal,1.5538409999999996
14739,HC.AN.CL,1,1,26,299,0,1,0,1,一盏,生日,mid_frontal,-9.258817666666667
14740,LC.UNEXP.CL,5,1,26,506,1,0,-2,1,一趟,飞机,mid_frontal,-0.9568710000000001
14741,HC.UNEXP.VB,9,0,26,271,1,1,-1,1,兴建,景点,mid_frontal,0.3484677333333333
14742,HC.UNEXP.VB,9,0,26,647,1,1,-1,1,揭开,锅,mid_frontal,1.4547685866666666
14743,LC.UNEXP.CL,5,1,26,507,1,0,-2,1,一大群,蚂蚁,mid_frontal,-5.377988666666667
14744,HC.AN.CL,1,1,26,56,0,1,0,1,一张,鸡,mid_frontal,0.09666933333333343
14745,HC.EXP.CL,3,1,26,310,2,1,0,1,一套,房,mid_frontal,1.7289673333333333
14746,LC.AN.CL,2,1,26,306,0,0,0,1,一系列,米,mid_frontal,-1.494492666666667
14747,HC.UNEXP.VB,9,0,26,737,1,1,-1,1,发表,看法,mid_frontal,6.018326666666667
14748,HC.UNEXP.VB,9,0,26,501,1,1,-1,1,前往,实验室,mid_frontal,-1.4666824333333335
14749,HC.UNEXP.CL,4,1,26,645,1,1,-1,1,一记,警告,mid_frontal,0.766747
14750,LC.UNEXP.VB,10,0,26,748,1,0,-2,1,增加,工资,mid_frontal,-6.391431
14751,LC.AN.VB,7,0,26,611,0,0,0,1,送往,饭,mid_frontal,-0.7178319333333333
14752,LC.AN.VB,7,0,26,278,0,0,0,1,收拾,生日,mid_frontal,-8.183742
14753,HC.AN.CL,1,1,26,302,0,1,0,1,一亩,云朵,mid_frontal,1.4544466666666667
14754,HC.AN.VB,6,0,26,320,0,1,0,1,筹措,鱼,mid_frontal,-20.66208333333333
14755,HC.UNEXP.VB,9,0,26,190,1,1,-1,1,发来,短信,mid_frontal,-4.670281
14756,LC.AN.VB,7,0,26,58,0,0,0,0,发展,楼房,mid_frontal,0.43324239999999986
14757,LC.AN.VB,7,0,26,480,0,0,0,1,拉开,狗,mid_frontal,-1.2322705666666667
14758,LC.UNEXP.CL,5,1,26,301,1,0,-2,1,一只,松鼠,mid_frontal,-6.607108
14759,HC.AN.VB,6,0,26,198,0,1,0,1,环游,米,mid_frontal,-11.054213333333335
14760,HC.AN.VB,6,0,26,311,0,1,0,1,贴近,鞋子,mid_frontal,-5.421394666666667
14761,LC.AN.CL,2,1,26,750,0,0,0,1,一手,飞机,mid_frontal,-15.872553333333334
14762,LC.AN.CL,2,1,26,300,0,0,0,1,一团,水,mid_frontal,-11.605549333333334
14763,HC.AN.CL,1,1,26,651,0,1,0,1,一腔,鱼,mid_frontal,-7.750330000000001
14764,HC.EXP.VB,8,0,26,37,2,1,0,1,践踏,尊严,mid_frontal,-22.591669999999997
14765,HC.UNEXP.CL,4,1,26,53,1,1,-1,1,一帖,对联,mid_frontal,-10.32667
14766,LC.AN.VB,7,0,26,47,0,0,0,1,遍布,牛,mid_frontal,-5.306419333333333
14767,HC.AN.VB,6,0,26,51,0,1,0,1,搬起,卧室,mid_frontal,-3.1052399333333334
14768,LC.UNEXP.CL,5,1,26,119,1,0,-2,1,一层层,台阶,mid_frontal,-3.5243256666666665
14769,HC.UNEXP.VB,9,0,26,290,1,1,-1,1,篡改,答案,mid_frontal,-15.7697
14770,HC.UNEXP.CL,4,1,26,186,1,1,-1,1,一轮,面试,mid_frontal,7.940036666666667
14771,HC.AN.VB,6,0,26,619,0,1,0,1,收受,狗,mid_frontal,-9.393826633333333
14772,HC.UNEXP.VB,9,0,26,609,1,1,-1,1,参与,学习,mid_frontal,-5.2884079533333335
14773,HC.EXP.CL,3,1,26,496,2,1,0,1,一帖,字,mid_frontal,-11.083999999999998
14774,LC.AN.VB,7,0,26,660,0,0,0,1,突出,线,mid_frontal,-10.050568666666669
14775,HC.EXP.CL,3,1,26,492,2,1,0,1,一面,墙,mid_frontal,-8.234067
14776,HC.EXP.VB,8,0,26,46,2,1,0,1,封锁,消息,mid_frontal,-9.296815333333333
14777,LC.UNEXP.VB,10,0,26,98,1,0,-2,1,持有,黄金,mid_frontal,-0.29913116666666645
14778,LC.UNEXP.VB,10,0,26,284,1,0,-2,1,踏进,社会,mid_frontal,-9.983214666666667
14779,HC.EXP.CL,3,1,26,283,2,1,0,1,一碗,饭,mid_frontal,-6.15744
14780,LC.UNEXP.VB,10,0,26,722,1,0,-2,1,抵制,文化,mid_frontal,-2.4101740333333335
14781,HC.UNEXP.CL,4,1,26,307,1,1,-1,1,一盘,土豆,mid_frontal,1.8535173333333332
14782,HC.EXP.CL,3,1,26,202,2,1,0,1,一届,学生,mid_frontal,-6.742050466666666
14783,LC.UNEXP.VB,10,0,26,460,1,0,-2,1,变为,动物,mid_frontal,-2.1385106666666664
14784,HC.AN.CL,1,1,26,610,0,1,0,1,一斗,楼房,mid_frontal,-2.374672
14785,HC.AN.VB,6,0,26,49,0,1,0,1,歪曲,飞机,mid_frontal,-5.177060966666667
14786,LC.UNEXP.CL,5,1,26,44,1,0,-2,1,一两,油,mid_frontal,-7.088792333333333
14787,LC.UNEXP.CL,5,1,26,462,1,0,-2,1,一口,奶,mid_frontal,-0.4653393333333334
14788,LC.UNEXP.VB,10,0,26,612,1,0,-2,1,表示,中立,mid_frontal,-8.448839333333334
14789,HC.EXP.VB,8,0,26,200,2,1,0,1,报道,新闻,mid_frontal,-3.416603566666667
14790,LC.AN.VB,7,0,26,505,0,0,0,1,会见,措施,mid_frontal,-10.636423666666667
14791,HC.EXP.VB,8,0,26,621,2,1,0,1,骗,人,mid_frontal,5.171263
14792,LC.UNEXP.VB,10,0,26,118,1,0,-2,1,整顿,思想,mid_frontal,-2.031075333333333
14793,LC.UNEXP.CL,5,1,26,469,1,0,-2,1,一两,珍珠,mid_frontal,-4.482598233333333
14794,HC.AN.VB,6,0,26,652,0,1,0,1,赚到,扣子,mid_frontal,-8.720577666666667
14795,HC.EXP.VB,8,0,26,274,2,1,0,1,载,人,mid_frontal,2.617898
14796,HC.UNEXP.VB,9,0,26,40,1,1,-1,1,健全,法治,mid_frontal,2.439207966666667
14797,HC.EXP.VB,8,0,26,502,2,1,0,1,借鉴,经验,mid_frontal,2.3195231
14798,HC.UNEXP.CL,4,1,26,316,1,1,-1,1,一起,安检,mid_frontal,3.5999320000000004
14799,LC.UNEXP.CL,5,1,26,285,1,0,-2,1,一把,火,mid_frontal,-4.705598666666667
14800,LC.AN.VB,7,0,26,329,0,0,0,1,送到,鸡,mid_frontal,4.802241766666667
14801,HC.AN.CL,1,1,26,99,0,1,0,1,一朵,棋,mid_frontal,-4.338989000000001
14802,LC.AN.CL,2,1,26,635,0,0,0,1,一项,饭,mid_frontal,4.196858333333333
14803,LC.UNEXP.VB,10,0,26,488,1,0,-2,1,要求,成绩,mid_frontal,-9.332970000000001
14804,LC.AN.VB,7,0,26,319,0,0,0,1,发布,土地,mid_frontal,-8.740368333333334
14805,HC.AN.VB,6,0,26,205,0,1,0,1,吃,香烟,mid_frontal,-1.3848132133333333
14806,LC.AN.CL,2,1,26,485,0,0,0,1,一点,鞋子,mid_posterior,-14.130706666666667
14807,LC.AN.CL,2,1,26,648,0,0,0,1,一笔,菜,mid_posterior,-3.9916390000000006
14808,LC.UNEXP.VB,10,0,26,115,1,0,-2,1,开立,公司,mid_posterior,-4.200924666666666
14809,LC.UNEXP.VB,10,0,26,643,1,0,-2,1,告诉,女孩,mid_posterior,-14.69123
14810,LC.AN.CL,2,1,26,281,0,0,0,1,一股,钱,mid_posterior,-9.649463933333333
14811,LC.AN.CL,2,1,26,475,0,0,0,1,一份,墙,mid_posterior,-10.995443333333332
14812,HC.EXP.CL,3,1,26,298,2,1,0,1,一尊,佛像,mid_posterior,11.454103333333334
14813,HC.UNEXP.CL,4,1,26,657,1,1,-1,0,一壶,饮料,mid_posterior,-7.882287666666666
14814,HC.UNEXP.VB,9,0,26,625,1,1,-1,1,承包,商铺,mid_posterior,-7.917751666666667
14815,HC.UNEXP.CL,4,1,26,277,1,1,-1,0,一扇,猪肉,mid_posterior,-9.177856666666665
14816,LC.AN.VB,7,0,26,117,0,0,0,1,举行,棋,mid_posterior,2.4791016666666663
14817,HC.EXP.VB,8,0,26,318,2,1,0,1,运送,货物,mid_posterior,-8.136346000000001
14818,HC.EXP.CL,3,1,26,324,2,1,0,1,一里,路,mid_posterior,-0.8893368333333336
14819,HC.UNEXP.CL,4,1,26,321,1,1,-1,1,一缸,荷花,mid_posterior,-11.132660000000001
14820,HC.AN.CL,1,1,26,295,0,1,0,1,一篇,线,mid_posterior,-2.3169707
14821,LC.AN.CL,2,1,26,273,0,0,0,1,一声,土地,mid_posterior,4.517853006666667
14822,LC.AN.VB,7,0,26,632,0,0,0,1,统治,尸体,mid_posterior,-7.509206333333334
14823,HC.AN.CL,1,1,26,483,0,1,0,1,一本,黄金,mid_posterior,-8.647062
14824,HC.EXP.CL,3,1,26,606,2,1,0,1,一平方公里,土地,mid_posterior,3.649554261
14825,HC.EXP.CL,3,1,26,197,2,1,0,1,一记,耳光,mid_posterior,-2.1466628366666662
14826,HC.UNEXP.CL,4,1,26,638,1,1,-1,1,一平方公里,湖,mid_posterior,-6.519882
14827,LC.AN.CL,2,1,26,498,0,0,0,1,一罐,飞机,mid_posterior,-3.604517333333334
14828,LC.UNEXP.VB,10,0,26,287,1,0,-2,1,具有,能力,mid_posterior,-10.722226666666666
14829,LC.AN.CL,2,1,26,639,0,0,0,0,一份,歌曲,mid_posterior,-4.038483666666667
14830,LC.AN.VB,7,0,26,637,0,0,0,0,走向,信号,mid_posterior,-7.105522999999999
